id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
752,Empire Dragon,Limited Series,Fantasy,Crime,2016,41,NC-17,English,USA,6.2,11115414,64610932.91,8,156,TRUE,2024-01-10,FALSE
753,Secret Mission,Documentary,Horror,None,2016,99,G,Japanese,Germany,6.5,11115414,64610932.91,0,0,FALSE,2021-01-20,FALSE
754,Phoenix Ice,TV Series,Music,Sci-Fi,2016,70,TV-MA,English,Canada,6.7,11115414,64610932.91,3,79,TRUE,2024-06-17,FALSE
755,Dragon Quest,Documentary,Music,Drama,2016,85,PG,English,USA,4.4,11115414,64610932.91,0,0,FALSE,2024-12-22,FALSE
756,King Day,Movie,Music,None,2016,129,TV-Y7,English,Canada,7.7,11115414,59950273,0,0,FALSE,2024-06-24,FALSE
757,Legend Adventure,Stand-up Comedy,Sci-Fi,None,2016,72,G,Spanish,USA,6.0,11115414,64610932.91,0,0,FALSE,2022-01-18,TRUE
758,Ice Kingdom,Documentary,Sci-Fi,War,2016,111,TV-Y,English,USA,2.7,11115414,64610932.91,0,0,FALSE,2023-07-19,TRUE
759,Family Dragon,Movie,Sci-Fi,None,2016,122,TV-PG,Japanese,France,6.4,15085716,64610932.91,0,0,TRUE,2024-09-27,FALSE
760,My Quest,TV Series,Sport,Sci-Fi,2016,38,TV-PG,English,USA,8.6,11115414,64610932.91,6,90,FALSE,2023-12-09,FALSE
761,Princess House,Movie,Western,None,2016,73,TV-G,Japanese,USA,5.3,11115414,196392638,0,0,FALSE,2023-08-10,FALSE
762,The Phoenix,Movie,Western,None,2016,153,PG,German,USA,5.9,7058434,11893984,0,0,FALSE,2022-12-03,FALSE
763,First Mission,Documentary,Action,Western,2017,98,PG-13,English,USA,5.3,11115414,64610932.91,0,0,TRUE,2022-06-24,TRUE
764,Queen Warrior,TV Series,Adventure,None,2017,62,TV-Y7,English,Canada,6.5,11115414,64610932.91,3,64,FALSE,2024-08-15,FALSE
765,Our Adventure,TV Series,Adventure,None,2017,66,TV-G,German,USA,7.0,11115414,64610932.91,11,107,FALSE,2025-04-20,FALSE
766,Mission Dream,Movie,Biography,None,2017,82,TV-14,Spanish,USA,5.9,4186498,7674756,0,0,TRUE,2021-10-30,FALSE
767,King Love,TV Series,Biography,Drama,2017,46,TV-PG,Hindi,South Korea,6.3,11115414,64610932.91,1,168,TRUE,2025-07-23,FALSE
768,War House,Stand-up Comedy,Comedy,None,2017,82,PG-13,German,France,6.4,11115414,64610932.91,0,0,TRUE,2025-06-08,FALSE
769,House Phoenix,Movie,Crime,None,2017,115,PG,English,USA,6.5,11115414,394055,0,0,FALSE,2022-07-21,FALSE
770,Quest House,Movie,Crime,Mystery,2017,114,TV-14,French,USA,5.6,2053432,254166195,0,0,FALSE,2024-07-31,FALSE
771,Our Story,Movie,Crime,None,2017,118,NC-17,French,Canada,8.0,11115414,64610932.91,0,0,TRUE,2024-11-29,TRUE
772,Dragon King,Movie,Documentary,None,2017,151,G,English,India,7.5,11115414,9373734,0,0,FALSE,2024-06-10,TRUE
773,Our Journey,TV Series,Documentary,None,2017,45,G,Italian,India,8.0,11115414,64610932.91,8,177,FALSE,2023-11-19,FALSE
774,Big Adventure,Movie,Documentary,Fantasy,2017,126,TV-Y7,English,USA,1.3,2250753,170972649,0,0,FALSE,2023-07-31,FALSE
775,Adventure Dream,Movie,Documentary,None,2017,97,G,English,USA,7.7,5230091,310864542,0,0,TRUE,2022-03-28,FALSE
776,Journey Night,Movie,Drama,None,2017,100,TV-MA,English,UK,6.9,11264097,64610932.91,0,0,FALSE,2021-11-25,FALSE
777,Big King,Movie,Fantasy,None,2017,76,R,English,South Korea,3.3,37318670,64610932.91,0,0,FALSE,2022-06-13,TRUE
778,An Princess,Stand-up Comedy,Romance,None,2017,93,NC-17,English,USA,0.7,11115414,64610932.91,0,0,TRUE,2021-12-02,FALSE
779,A Mission,Documentary,Romance,None,2017,88,TV-14,English,UK,6.3,11115414,64610932.91,0,0,TRUE,2025-01-17,TRUE
780,Family Legend,Limited Series,Romance,None,2017,81,PG-13,English,USA,6.0,11115414,64610932.91,12,133,FALSE,2023-04-22,TRUE
781,City Night,Movie,Romance,Music,2017,93,PG-13,Korean,UK,8.5,1669938,5999880,0,0,TRUE,2022-03-23,TRUE
782,Storm Warrior,Stand-up Comedy,Sci-Fi,None,2017,37,PG,Japanese,USA,3.3,11115414,64610932.91,0,0,FALSE,2022-01-28,TRUE
783,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52,NC-17,Italian,France,8.2,11115414,64610932.91,0,0,FALSE,2024-04-16,FALSE
784,Mystery Quest,Movie,Sci-Fi,None,2017,110,TV-G,English,UK,7.2,11115414,1333829,0,0,FALSE,2024-12-02,FALSE
785,A Dream,Movie,Sci-Fi,Comedy,2017,149,PG-13,English,USA,6.9,24683583,12557644,0,0,TRUE,2022-07-14,FALSE
786,Mystery Fire,Movie,Thriller,None,2017,110,PG,English,South Korea,5.1,6458405,2367644,0,0,FALSE,2022-09-26,TRUE
787,War Story,TV Series,War,None,2017,26,NC-17,English,USA,8.0,11115414,64610932.91,6,93,FALSE,2022-01-24,FALSE
788,Story Legend,Movie,War,None,2017,110,R,French,USA,7.6,2371950,64610932.91,0,0,FALSE,2023-10-03,FALSE
788,King Fire,Movie,Action,None,2018,105,G,English,UK,4.5,8939550,4931077,0,0,FALSE,2024-06-22,TRUE
789,Bright Day,Movie,Action,Sci-Fi,2018,91,G,English,Germany,7.6,456624,82210,0,0,FALSE,2023-11-21,FALSE
790,Love Love,Stand-up Comedy,Action,None,2018,55,PG-13,French,USA,4.7,11115414,64610932.91,0,0,FALSE,2023-04-29,FALSE
791,Secret Hero,TV Series,Action,None,2018,57,R,English,USA,6.3,11115414,64610932.91,6,173,TRUE,2023-03-08,FALSE
792,Old Family,Limited Series,Action,War,2018,43,TV-G,Spanish,South Korea,6.3,11115414,64610932.91,5,182,FALSE,2024-10-14,FALSE
793,Mystery War,TV Series,Action,None,2018,31,G,French,India,6.3,11115414,64610932.91,8,182,FALSE,2023-08-20,FALSE
794,House Legend,TV Series,Adventure,Action,2018,61,PG-13,Spanish,Germany,6.5,11115414,64610932.91,10,57,FALSE,2025-04-18,FALSE
795,House Dragon,Movie,Comedy,Drama,2018,73,TV-Y,English,USA,6.7,11115414,64610932.91,0,0,TRUE,2023-11-30,FALSE
796,Kingdom House,TV Series,Comedy,None,2018,23,TV-G,English,Canada,6.8,11115414,64610932.91,2,22,TRUE,2021-03-02,TRUE
797,King Adventure,Movie,Drama,None,2018,117,TV-G,Italian,USA,6.2,37983685,7744943,0,0,FALSE,2025-03-12,FALSE
798,Fire Phoenix,TV Series,Drama,None,2018,45,TV-Y7,Japanese,South Korea,5.3,11115414,64610932.91,11,91,FALSE,2020-09-07,TRUE
799,Our Queen,Movie,Family,None,2018,98,TV-MA,English,South Korea,4.8,11115414,64610932.91,0,0,FALSE,2023-02-12,FALSE
800,A Quest,TV Series,Family,None,2018,36,PG,Italian,UK,6.3,11115414,64610932.91,3,138,TRUE,2020-12-01,FALSE
801,Family Story,TV Series,Family,None,2018,28,TV-Y,English,USA,6.3,11115414,64610932.91,2,191,TRUE,2020-09-11,FALSE
802,War Journey,Movie,Family,Thriller,2018,170,R,English,USA,4.0,1509950,9208234,0,0,FALSE,2023-01-26,FALSE
803,Quest Hero,Documentary,Fantasy,None,2018,91,G,English,France,7.0,11115414,64610932.91,0,0,TRUE,2023-09-01,FALSE
804,Family Journey,TV Series,Fantasy,None,2018,37,TV-Y,French,South Korea,6.3,11115414,64610932.91,7,25,FALSE,2021-09-08,TRUE
805,Mystery Mystery,Movie,Fantasy,Western,2018,93,PG-13,English,USA,3.5,2480786,64610932.91,0,0,TRUE,2023-06-07,FALSE
806,Princess City,Documentary,History,None,2018,90,TV-Y7,English,Canada,4.7,11115414,64610932.91,0,0,FALSE,2022-02-28,FALSE
807,Mystery Kingdom,Movie,History,None,2018,119,NC-17,Hindi,USA,6.8,11115414,64610932.91,0,0,FALSE,2024-03-25,FALSE
808,City Ice,TV Series,History,None,2018,45,TV-PG,English,USA,6.8,11115414,64610932.91,9,198,FALSE,2022-05-03,TRUE
809,The Love,Movie,Horror,Music,2018,57,TV-14,English,USA,6.2,461832,64610932.91,0,0,FALSE,2022-12-15,FALSE
810,Dragon Princess,Movie,Music,None,2018,92,G,Spanish,South Korea,5.2,1893934,1115568,0,0,FALSE,2022-06-04,FALSE
811,Old King,Documentary,Music,None,2018,110,TV-G,Italian,USA,8.1,11115414,64610932.91,0,0,FALSE,2021-03-20,FALSE
812,Love Secret,Movie,Music,Western,2018,100,R,English,USA,3.3,8658634,64610932.91,0,0,FALSE,2023-03-19,TRUE
813,Fire King,Documentary,Romance,None,2018,101,PG,English,USA,7.3,11115414,64610932.91,0,0,FALSE,2023-03-27,TRUE
814,Big Warrior,Documentary,Romance,None,2018,62,TV-G,Hindi,Germany,8.1,11115414,64610932.91,0,0,TRUE,2022-08-31,FALSE
814,Phoenix Hero,Documentary,Romance,None,2018,76,NC-17,English,Japan,6.6,11115414,64610932.91,0,0,TRUE,2023-09-30,TRUE
815,Mystery Dream,TV Series,Sci-Fi,None,2018,35,TV-MA,French,USA,7.0,11115414,64610932.91,7,66,FALSE,2025-04-22,FALSE
816,Princess Kingdom,Movie,Sport,None,2018,83,TV-14,German,Canada,2.7,2206961,64610932.91,0,0,FALSE,2022-02-15,FALSE
817,Princess Kingdom,Movie,Sport,None,2018,83,TV-14,German,Canada,2.7,2206961,64610932.91,0,0,FALSE,2022-02-15,FALSE
818,Bright Dragon,Stand-up Comedy,Thriller,None,2018,55,TV-14,English,USA,7.9,11115414,64610932.91,0,0,FALSE,2022-09-23,TRUE
819,Kingdom Battle,Stand-up Comedy,War,None,2018,72,NC-17,Italian,UK,5.9,11115414,64610932.91,0,0,TRUE,2021-10-13,FALSE
820,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,11115414,64610932.91,14,138,TRUE,2023-10-22,TRUE
821,Our Battle,TV Series,War,History,2018,26,TV-14,English,USA,6.4,11115414,64610932.91,5,95,TRUE,2024-12-03,FALSE
822,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,11115414,64610932.91,14,138,TRUE,2023-10-22,TRUE
823,Battle Secret,Limited Series,Western,None,2018,71,TV-Y7,English,UK,6.3,11115414,64610932.91,14,169,FALSE,2021-02-26,TRUE
823,The Empire,Movie,Western,Fantasy,2018,95,TV-PG,French,Canada,6.1,29387509,64610932.91,0,0,TRUE,2021-05-17,FALSE
824,Love Legend,Movie,Western,None,2018,121,NC-17,English,Germany,6.5,2533936,45685991,0,0,FALSE,2024-12-29,FALSE
825,A Adventure,Movie,Western,Romance,2018,126,R,English,USA,4.7,4641680,26325930,0,0,FALSE,2023-06-21,FALSE
826,Adventure Hero,TV Series,Western,None,2018,50,TV-14,English,France,8.1,11115414,64610932.91,5,121,FALSE,2023-10-10,FALSE
827,Ice House,Movie,Western,Thriller,2018,81,TV-Y7,French,UK,8.6,6422267,1560245,0,0,FALSE,2024-08-29,FALSE
828,Ice House,Movie,Western,Thriller,2018,81,TV-Y7,French,UK,8.6,6422267,1560245,0,0,FALSE,2024-08-29,FALSE
829,Little Warrior,Documentary,Action,Adventure,2019,98,G,Hindi,South Korea,8.5,11115414,64610932.91,0,0,FALSE,2025-07-26,TRUE
830,The Dream,Movie,Action,None,2019,72,TV-14,Korean,USA,8.0,3004314,64610932.91,0,0,TRUE,2020-11-09,FALSE
831,Phoenix Princess,TV Series,Action,None,2019,76,NC-17,German,USA,6.3,11115414,64610932.91,7,73,TRUE,2021-08-11,TRUE
832,Queen Adventure,Movie,Adventure,Comedy,2019,108,TV-PG,English,France,5.5,6555080,64610932.91,0,0,FALSE,2023-08-25,FALSE
833,Love Journey,Limited Series,Animation,None,2019,60,R,French,USA,6.7,11115414,64610932.91,0,29,TRUE,2021-04-26,FALSE
834,Day Day,Movie,Comedy,None,2019,108,TV-G,English,Japan,4.6,1559466,64610932.91,0,0,FALSE,2024-11-20,FALSE
835,Storm Mystery,Movie,Comedy,None,2019,144,TV-MA,French,USA,10.0,29920808,476337,0,0,FALSE,2023-09-25,FALSE
836,Kingdom City,Movie,Crime,None,2019,105,TV-PG,English,Germany,4.3,8179501,64610932.91,0,0,FALSE,2023-02-07,FALSE
837,Phoenix Day,Movie,Documentary,Action,2019,114,R,English,USA,4.1,386155,51575130,0,0,FALSE,2024-02-29,TRUE
838,Dream Dream,Limited Series,Family,Crime,2019,65,R,English,USA,5.9,11115414,64610932.91,4,177,FALSE,2024-07-24,FALSE
839,Quest Empire,Movie,Family,Crime,2019,85,G,English,USA,3.7,11115414,212795,0,0,FALSE,2024-12-04,TRUE
840,Last Kingdom,Movie,Fantasy,Animation,2019,129,TV-Y7,Japanese,Canada,7.3,11990701,64610932.91,0,0,FALSE,2021-03-15,FALSE
841,Little Queen,Movie,History,None,2019,125,TV-MA,English,USA,3.9,9321651,5551808,0,0,FALSE,2024-08-01,FALSE
842,An Ice,Movie,History,Thriller,2019,111,TV-14,English,France,6.0,19903417,10427828,0,0,TRUE,2023-07-16,FALSE
843,Night House,Movie,Horror,None,2019,78,NC-17,English,USA,0.6,11115414,64610932.91,0,0,FALSE,2024-10-15,TRUE
844,Love Queen,Movie,Mystery,None,2019,80,PG-13,German,USA,7.3,5603605,64610932.91,0,0,FALSE,2022-01-10,FALSE
845,King Legend,TV Series,Romance,None,2019,64,PG,English,UK,7.4,11115414,64610932.91,7,192,TRUE,2022-11-24,TRUE
846,Dream War,Limited Series,Thriller,Animation,2019,49,TV-Y,Italian,Japan,8.2,11115414,64610932.91,12,32,FALSE,2021-09-20,FALSE
846,Storm Princess,Documentary,War,None,2019,110,R,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2022-02-27,TRUE
847,Empire War,TV Series,Western,None,2019,42,TV-MA,English,USA,5.4,11115414,64610932.91,14,112,FALSE,2021-08-22,TRUE
848,First Hero,Movie,Action,None,2020,452,TV-G,Hindi,India,6.7,2146992,55547817,0,0,TRUE,2024-06-01,FALSE
849,Dragon Storm,Documentary,Action,Comedy,2020,78,TV-14,English,Canada,4.9,11115414,64610932.91,0,0,TRUE,2024-08-17,FALSE
850,Fire Kingdom,Limited Series,Action,History,2020,34,PG,Spanish,Germany,6.9,11115414,64610932.91,3,35,FALSE,2021-08-28,FALSE
851,Love Warrior,Movie,Action,None,2020,121,NC-17,Japanese,UK,7.1,3121206,3827361,0,0,TRUE,2024-11-14,FALSE
852,Mystery Night,TV Series,Adventure,None,2020,60,TV-MA,English,USA,4.8,11115414,64610932.91,6,197,TRUE,2024-10-18,FALSE
853,First Kingdom,Movie,Adventure,None,2020,99,TV-G,English,USA,5.2,182524033,3132808,0,0,FALSE,2022-11-28,FALSE
854,Dark Quest,Movie,Adventure,None,2020,153,TV-Y,English,USA,6.3,11115414,52461237,0,0,TRUE,2024-02-17,FALSE
855,Mission Storm,Movie,Animation,None,2020,107,TV-G,English,USA,6.3,5259672,10814474,0,0,FALSE,2025-01-07,TRUE
856,Our Love,Stand-up Comedy,Animation,None,2020,40,TV-14,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2021-05-06,FALSE
857,Mission Adventure,Movie,Comedy,None,2020,151,PG,German,USA,5.6,479995,31220059,0,0,TRUE,2020-10-20,FALSE
858,Phoenix Hero,TV Series,Crime,None,2020,43,G,English,UK,7.4,11115414,64610932.91,4,134,FALSE,2023-09-22,FALSE
859,Last Princess,Movie,Crime,None,2020,98,R,Hindi,France,8.0,11115414,131032034,0,0,TRUE,2023-12-21,TRUE
860,Empire Secret,TV Series,Crime,Sport,2020,29,TV-G,Japanese,UK,7.8,11115414,64610932.91,2,70,TRUE,2024-04-25,FALSE
861,An Quest,TV Series,Documentary,None,2020,42,NC-17,Spanish,South Korea,8.1,11115414,64610932.91,9,6,FALSE,2024-02-13,FALSE
862,Day Mystery,Stand-up Comedy,Drama,None,2020,57,R,English,USA,6.6,11115414,64610932.91,0,0,TRUE,2022-10-16,FALSE
863,Family Love,Limited Series,Family,Thriller,2020,52,TV-PG,English,USA,8.5,11115414,64610932.91,5,106,FALSE,2023-07-25,FALSE
864,Little Journey,Documentary,Family,Animation,2020,72,TV-Y7,English,USA,7.1,11115414,64610932.91,0,0,FALSE,2025-02-27,FALSE
865,A Quest,Stand-up Comedy,Family,None,2020,51,R,English,India,5.9,11115414,64610932.91,0,0,FALSE,2022-05-14,FALSE
866,Mystery Storm,Documentary,Fantasy,Drama,2020,99,TV-14,English,USA,7.8,11115414,64610932.91,0,0,FALSE,2023-04-18,TRUE
867,Quest House,Documentary,Fantasy,Drama,2020,98,TV-PG,English,USA,5.9,11115414,64610932.91,0,0,FALSE,2025-06-11,FALSE
868,City Queen,Movie,History,Biography,2020,101,R,English,USA,9.7,11115414,41795066,0,0,TRUE,2024-03-31,FALSE
869,King Ice,Documentary,History,None,2020,83,TV-G,English,USA,7.4,11115414,64610932.91,0,0,FALSE,2023-04-29,FALSE
870,Storm Ice,Movie,History,War,2020,131,PG,English,USA,7.1,11115414,5648567,0,0,FALSE,2021-07-31,FALSE
871,Dragon Hero,Movie,History,Family,2020,91,G,English,South Korea,8.0,16253067,64610932.91,0,0,FALSE,2021-08-19,TRUE
872,An Princess,Movie,History,Horror,2020,107,TV-G,English,USA,6.5,65169386,16858783,0,0,FALSE,2021-08-23,FALSE
873,Big House,TV Series,Horror,None,2020,38,G,English,USA,6.7,11115414,64610932.91,6,72,TRUE,2020-09-20,FALSE
874,Storm Quest,Limited Series,Mystery,None,2020,36,TV-Y,German,South Korea,7.5,11115414,64610932.91,10,88,FALSE,2025-06-19,FALSE
875,Secret Ice,Movie,Romance,None,2020,152,TV-G,English,UK,0.9,389524,492518,0,0,FALSE,2022-11-01,TRUE
876,House Secret,Movie,Sport,None,2020,127,TV-G,English,USA,4.8,11115414,5863373,0,0,FALSE,2023-02-02,FALSE
877,Queen Hero,Movie,Sport,None,2020,147,TV-G,English,USA,7.8,13882650,1054653607,0,0,FALSE,2022-03-09,FALSE
878,Queen Hero,Movie,Sport,None,2020,147,TV-G,English,USA,7.8,13882650,1054653607,0,0,FALSE,2022-03-09,FALSE
879,City Battle,TV Series,Thriller,None,2020,50,TV-Y7,Spanish,France,6.3,11115414,64610932.91,7,78,FALSE,2023-11-06,FALSE
880,Empire King,Movie,Thriller,Adventure,2020,105,TV-Y7,English,Japan,6.9,33231719,65276378,0,0,TRUE,2022-12-25,TRUE
881,An Night,Documentary,War,Animation,2020,131,TV-Y,English,USA,7.1,11115414,64610932.91,0,0,FALSE,2025-01-22,FALSE
882,Big Story,Movie,Western,None,2020,146,TV-14,English,UK,5.8,2059746,64610932.91,0,0,FALSE,2020-10-15,FALSE
883,War Love,Documentary,Western,Sci-Fi,2020,90,TV-PG,Italian,South Korea,4.6,11115414,64610932.91,0,0,TRUE,2024-12-21,FALSE
884,Old Phoenix,Stand-up Comedy,Western,None,2020,19,PG,Spanish,Canada,3.7,11115414,64610932.91,0,0,FALSE,2025-05-08,FALSE
885,House Family,TV Series,Action,None,2021,42,TV-PG,German,Canada,4.8,11115414,64610932.91,5,121,TRUE,2023-03-24,FALSE
886,The Mystery,Movie,Action,None,2021,13,PG-13,Korean,South Korea,6.3,11115414,64610932.91,0,0,FALSE,2021-01-12,TRUE
887,Mystery Battle,TV Series,Animation,Biography,2021,65,TV-Y,Spanish,Canada,7.0,11115414,64610932.91,8,48,FALSE,2020-10-29,FALSE
888,Family Queen,Movie,Comedy,Horror,2021,127,PG,Korean,Canada,6.1,52114579,24037884,0,0,FALSE,2020-09-10,FALSE
889,Bright Adventure,Movie,Comedy,None,2021,102,NC-17,English,Canada,7.1,1852812,323259,0,0,TRUE,2025-03-09,FALSE
890,War Dragon,Movie,Crime,None,2021,69,NC-17,English,USA,6.0,18860431,57338013,0,0,TRUE,2021-04-09,FALSE
891,Battle Phoenix,Stand-up Comedy,Documentary,None,2021,49,TV-Y7,English,USA,6.6,11115414,64610932.91,0,0,FALSE,2025-07-25,TRUE
891,Adventure Legend,TV Series,Drama,Adventure,2021,73,R,Japanese,USA,6.5,11115414,64610932.91,2,109,FALSE,2020-11-18,FALSE
892,Bright Phoenix,Documentary,Drama,None,2021,84,TV-Y,English,UK,7.9,11115414,64610932.91,0,0,TRUE,2023-05-09,FALSE
893,City Quest,Documentary,Drama,None,2021,86,NC-17,Spanish,South Korea,1.4,11115414,64610932.91,0,0,FALSE,2024-10-22,FALSE
894,A Adventure,Documentary,Drama,Documentary,2021,99,R,English,USA,4.4,11115414,64610932.91,0,0,TRUE,2021-10-26,FALSE
895,A Adventure,Documentary,Drama,Documentary,2021,99,R,English,USA,4.4,11115414,64610932.91,0,0,TRUE,2021-10-26,FALSE
896,City Legend,Movie,Family,Animation,2021,106,TV-PG,English,USA,7.6,102041972,64610932.91,0,0,FALSE,2023-06-21,FALSE
897,City Night,TV Series,Family,None,2021,46,PG-13,Hindi,Germany,5.8,11115414,64610932.91,5,129,FALSE,2022-12-20,FALSE
898,Queen Queen,Movie,Family,None,2021,106,TV-Y,English,USA,6.2,11115414,5088419,0,0,TRUE,2021-03-18,FALSE
899,Mystery House,Movie,Family,Biography,2021,139,R,Hindi,USA,6.3,11115414,2642562,0,0,TRUE,2024-10-22,FALSE
900,Little Secret,Movie,Family,Romance,2021,131,TV-PG,English,Germany,6.3,1815186,2039126,0,0,FALSE,2021-06-12,FALSE
901,City Dream,TV Series,History,Romance,2021,17,TV-Y,English,USA,5.1,11115414,64610932.91,9,97,TRUE,2024-03-03,FALSE
902,Dream Adventure,TV Series,Music,None,2021,49,TV-MA,English,Japan,9.4,11115414,64610932.91,14,52,TRUE,2022-12-04,FALSE
903,Bright Ice,Movie,Mystery,None,2021,95,TV-14,French,South Korea,7.9,1167789,819792,0,0,TRUE,2021-06-10,FALSE
904,Phoenix Journey,TV Series,Romance,History,2021,35,TV-MA,English,France,8.8,11115414,64610932.91,7,78,FALSE,2024-11-17,FALSE
905,Empire Love,TV Series,Sci-Fi,None,2021,43,TV-Y7,English,Japan,7.1,11115414,64610932.91,8,197,TRUE,2024-09-23,TRUE
906,Ice Story,Movie,War,None,2021,122,TV-Y7,English,UK,6.3,11115414,9899916,0,0,FALSE,2024-09-05,TRUE
907,Dragon Day,Documentary,Western,None,2021,110,PG,English,UK,8.3,11115414,64610932.91,0,0,FALSE,2021-07-06,TRUE
908,Legend Mission,Movie,Animation,None,2022,119,PG-13,English,USA,6.3,11115414,42547797,0,0,FALSE,2023-01-19,FALSE
909,Dragon War,Documentary,Comedy,None,2022,95,TV-PG,Spanish,Japan,7.7,11115414,64610932.91,0,0,FALSE,2021-01-12,FALSE
910,Quest Empire,Movie,Comedy,None,2022,120,G,English,Japan,6.7,11481343,727483,0,0,FALSE,2025-01-20,FALSE
911,Day City,TV Series,Crime,None,2022,42,G,English,USA,5.7,11115414,64610932.91,6,89,FALSE,2023-09-28,FALSE
912,Day City,TV Series,Crime,None,2022,42,G,English,USA,5.7,11115414,64610932.91,6,89,FALSE,2023-09-28,FALSE
913,Love Fire,Movie,Documentary,None,2022,93,TV-Y7,English,South Korea,9.5,3882573,64610932.91,0,0,FALSE,2023-02-04,FALSE
914,Fire Princess,Movie,Drama,None,2022,99,PG,Italian,USA,9.1,197326642,5829409,0,0,TRUE,2024-09-21,FALSE
915,Last House,Movie,Drama,None,2022,152,NC-17,French,USA,6.3,11115414,38401267,0,0,FALSE,2024-12-02,FALSE
916,War Adventure,Movie,Drama,None,2022,22,TV-MA,English,USA,6.8,11115414,64610932.91,0,0,TRUE,2022-06-04,FALSE
917,Last Battle,Movie,Drama,None,2022,586,TV-14,English,USA,5.4,28133203,146383638,0,0,FALSE,2024-04-24,FALSE
918,Fire King,TV Series,Drama,None,2022,64,PG,Spanish,USA,6.3,11115414,64610932.91,1,98,FALSE,2021-07-22,FALSE
919,Princess Queen,Stand-up Comedy,Family,Drama,2022,36,NC-17,English,USA,6.3,11115414,64610932.91,0,0,FALSE,2024-04-04,FALSE
920,Queen War,Movie,Family,Action,2022,159,TV-Y,English,USA,5.5,1612758,64610932.91,0,0,FALSE,2022-06-29,FALSE
921,Queen Empire,Movie,Fantasy,None,2022,87,PG-13,Spanish,USA,7.2,11115414,64610932.91,0,0,TRUE,2022-03-03,FALSE
922,A Quest,Movie,History,None,2022,110,PG-13,French,Germany,5.9,845349,4568753,0,0,FALSE,2020-12-09,TRUE
923,A City,Movie,History,Mystery,2022,110,TV-Y,Hindi,USA,7.2,11115414,124803650,0,0,FALSE,2024-10-11,FALSE
924,Dream Dream,TV Series,Horror,None,2022,37,TV-Y,French,USA,5.9,11115414,64610932.91,6,67,FALSE,2024-06-23,FALSE
925,Love Day,TV Series,Horror,None,2022,37,NC-17,English,USA,8.5,11115414,64610932.91,10,153,FALSE,2023-03-26,FALSE
926,Little Phoenix,Documentary,Music,Romance,2022,100,TV-PG,English,France,6.3,11115414,64610932.91,0,0,TRUE,2021-03-14,FALSE
927,Last Mission,Movie,Mystery,Comedy,2022,152,TV-Y,English,USA,5.2,11115414,22144747,0,0,FALSE,2024-04-21,FALSE
928,Dragon Princess,TV Series,Mystery,None,2022,42,G,English,USA,8.8,11115414,64610932.91,3,191,FALSE,2022-12-10,FALSE
929,House Secret,Stand-up Comedy,Romance,None,2022,61,PG-13,Hindi,USA,6.3,11115414,64610932.91,0,0,FALSE,2025-03-08,FALSE
930,Mission Storm,Documentary,Sci-Fi,None,2022,56,TV-14,English,USA,6.9,11115414,64610932.91,0,0,TRUE,2021-06-16,FALSE
931,Bright Secret,TV Series,Sport,None,2022,36,TV-Y7,Spanish,USA,6.0,11115414,64610932.91,4,69,TRUE,2022-11-17,FALSE
932,Dark Mission,Movie,Sport,Biography,2022,118,R,French,USA,8.4,8577151,116808765,0,0,FALSE,2025-06-04,FALSE
932,New Kingdom,Documentary,Thriller,None,2022,54,TV-Y,Japanese,USA,6.1,11115414,64610932.91,0,0,FALSE,2024-03-23,FALSE
933,House Legend,Limited Series,Thriller,War,2022,83,TV-MA,English,USA,6.3,11115414,64610932.91,12,22,TRUE,2025-04-11,FALSE
934,Story Warrior,Movie,Thriller,None,2022,104,G,English,USA,9.1,7640901,8187582,0,0,FALSE,2021-05-19,FALSE
935,Love Battle,Stand-up Comedy,War,None,2022,91,R,English,Germany,4.4,11115414,64610932.91,0,0,FALSE,2020-10-15,TRUE
936,Love Battle,Stand-up Comedy,War,None,2022,91,R,English,Germany,4.4,11115414,64610932.91,0,0,FALSE,2020-10-15,TRUE
937,Day Dream,Movie,Western,None,2022,148,R,English,USA,6.3,16018207,64610932.91,0,0,TRUE,2025-06-02,FALSE
938,Night Journey,Documentary,Western,History,2022,50,PG-13,Italian,USA,7.7,11115414,64610932.91,0,0,TRUE,2024-06-16,FALSE
939,The Story,Movie,Adventure,None,2023,104,TV-14,English,USA,7.5,766474,7301565,0,0,FALSE,2024-03-05,TRUE
940,Battle City,Documentary,Biography,None,2023,81,R,Hindi,France,6.5,11115414,64610932.91,0,0,FALSE,2022-12-31,TRUE
941,Dragon Princess,Movie,Biography,Sport,2023,116,TV-G,English,Germany,6.2,8059992,1032562,0,0,FALSE,2021-11-26,FALSE
942,Love War,Movie,Biography,Animation,2023,132,TV-G,Hindi,USA,7.4,8101114,18148075,0,0,TRUE,2021-08-30,FALSE
943,Quest Battle,TV Series,Comedy,None,2023,59,G,Spanish,USA,6.3,11115414,64610932.91,6,101,FALSE,2020-11-25,FALSE
